"gene_id" "GSM158644.CEL"
"213315_x_at" 8.64385
"213329_at" 6.62409
"213356_x_at" 12.7056
"213360_s_at" 9.70957
"213378_s_at" 7.84342
"213380_x_at" 8.19748
"213388_at" 7.20385
"213397_x_at" 9.58736
"213403_at" 5.60297
"213408_s_at" 9.79757
"213416_at" 6.01518
"213421_x_at" 7.08981
"213447_at" 8.13335
"213448_at" 8.50899
"213451_x_at" 8.52332
"213454_at" 8.13156
"213460_x_at" 7.94365
"213474_at" 6.55061
"213484_at" 6.53332
"213486_at" 6.68596
"213500_at" 8.38452
"213515_x_at" 7.37045
"213522_s_at" 6.27426
"213525_at" 5.12423
"213550_s_at" 8.4866
"213551_x_at" 8.21213
"213557_at" 7.6937
"213561_at" 7.69178
"213598_at" 7.61387
"213601_at" 7.21175
"213610_s_at" 5.49052
"213612_x_at" 11.2854
"213620_s_at" 7.28902
"213642_at" 9.72541
"213650_at" 7.06128
"213655_at" 10.6855
"213657_s_at" 8.95263
"213658_at" 7.48916
"213667_at" 6.79132
"213674_x_at" 7.59516
"213688_at" 6.46486
"213698_at" 8.57304
"213704_at" 6.71881
"213705_at" 7.62149
"213737_x_at" 9.27234
"213740_s_at" 6.39332
"213757_at" 9.53893
"213762_x_at" 11.0986
"213775_x_at" 8.33381
"213788_s_at" 7.23066
"213801_x_at" 13.4759
"213813_x_at" 8.13861
"213818_x_at" 7.77537
"213828_x_at" 11.8254
"213831_at" 6.9316
"213833_x_at" 6.95611
"213841_at" 6.65285
"213842_x_at" 9.60255
"213852_at" 9.58367
"213855_s_at" 6.18053
"213863_s_at" 6.36453
"213872_at" 7.92669
"213873_at" 7.50613
"213879_at" 7.02788
"213893_x_at" 9.0178
"213904_at" 5.02846
"213908_at" 5.09759
"213916_at" 7.92326
"213931_at" 10.5193
"213971_s_at" 7.80524
"213979_s_at" 9.66284
"214003_x_at" 12.9562
"214019_at" 5.84142
"214027_x_at" 7.47318
"214051_at" 9.26411
"214069_at" 6.62078
"214078_at" 4.36541
"214084_x_at" 6.7346
"214099_s_at" 7.72841
"214102_at" 7.0327
"214107_x_at" 7.93872
"214112_s_at" 9.15901
"214126_at" 6.97677
"214129_at" 6.84949
"214130_s_at" 4.38911
"214148_at" 8.84033
"214151_s_at" 9.17372
"214152_at" 8.0384
"214158_s_at" 6.82012
"214162_at" 5.42756
